Instance,Root Node LP Objective,Best PnB IP Solution,GAP,Time for Column Generation,Time for IP
X-n101-k25.vrp,90010.73456916604,70037.5384352986,0.0,302.81828212738037,0.3690333366394043
X-n106-k14.vrp,182313.70238628561,119171.73287350626,0.0,298.0263431072235,0.5105130672454834
X-n110-k13.vrp,83028.4565581441,61446.72221979643,0.0,297.98669052124023,0.5327029228210449
X-n115-k10.vrp,83785.37295681347,63609.8273676055,0.0,298.0260877609253,0.8639833927154541
X-n120-k6.vrp,171116.06981244124,122974.81655657101,0.0,297.45002794265747,0.6215419769287109
X-n125-k30.vrp,211720.3625241559,150613.94566465833,0.0,297.779949426651,0.6457054615020752
X-n129-k18.vrp,178790.3118318494,127679.30761856238,0.0,297.8954472541809,0.703437328338623
X-n134-k13.vrp,93333.48662318356,73642.92940507042,0.0,297.962406873703,0.6998116970062256
X-n139-k10.vrp,102289.0783524656,81041.00060448026,4.3596296590196515e-05,297.7475116252899,0.7469780445098877
X-n143-k7.vrp,221770.89458772886,176497.87432782486,0.0,298.0154449939728,0.7759609222412109
X-n148-k46.vrp,124352.95972806754,105814.89758915771,0.0,289.9607527256012,0.7265396118164062
